time_step,total_population,resource_concentration,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_15_density,genotype_16_density,genotype_17_density,genotype_18_density,genotype_19_density,mutation_frequency,cooperation_index,competition_index,mean_fitness,mean_resistance,mean_efficiency,biofilm_fraction,hgt_events,divisions,deaths,phase_lag,phase_log,phase_stationary,phase_death,mean_antibiotic,mean_biofilm,cumulative_mutations,cumulative_hgt,total_resource_consumed
56,10231,25.360772,0.324699,0.338383,0.332714,0.000293,9.8e-05,9.8e-05,0.000391,9.8e-05,9.8e-05,0.0,9.8e-05,9.8e-05,0.0,0.001368,0.0,0.00088,0.000489,9.8e-05,0.0,9.8e-05,0.016221,0.419715,0.025315,0.534804,0.073062,1.01915,0.842342,0,1048,696,3248,1246,5737,0,0.0,0.183266,321,28,369340.505
57,9401,25.576548,0.326774,0.337411,0.331454,0.000319,0.000106,0.000106,0.000425,0.0,0.000106,0.0,0.000106,0.000106,0.0,0.001489,0.0,0.000957,0.000425,0.000106,0.0,0.000106,0.0,0.465808,0.025358,0.595973,0.07292,1.019308,0.934794,0,0,830,2977,0,6424,0,0.0,0.187574,321,28,379085.5474
58,10087,25.761411,0.326856,0.34143,0.327352,0.000297,9.9e-05,9.9e-05,0.000397,0.0,9.9e-05,0.0,9.9e-05,0.000198,0.0,0.001586,0.0,0.000892,0.000397,9.9e-05,0.0,9.9e-05,0.008237,0.413035,0.025664,0.524248,0.073218,1.020412,0.827302,0,1214,528,3381,654,6052,0,0.0,0.192009,331,28,390342.982
59,9356,25.916598,0.32717,0.342668,0.325673,0.000321,0.000107,0.000107,0.000428,0.0,0.000107,0.0,0.000107,0.000214,0.0,0.00171,0.0,0.000855,0.000428,0.000107,0.0,0.0,0.0,0.469255,0.025999,0.596953,0.073201,1.02068,0.940038,0,0,731,1997,1164,6195,0,0.0,0.197385,331,28,403925.3971
60,10542,26.077551,0.326409,0.340353,0.32859,0.00019,9.5e-05,9.5e-05,0.000569,0.0,9.5e-05,0.0,9.5e-05,0.00019,0.0,0.001613,0.0,0.001138,0.000474,9.5e-05,0.0,0.0,0.009587,0.393108,0.026024,0.501495,0.073214,1.021568,0.789319,4,1669,483,3572,1122,5848,0,0.014898,0.201891,347,32,416539.9741
61,9560,26.249742,0.325314,0.341109,0.328766,0.000209,0.000105,0.000105,0.000523,0.0,0.000105,0.0,0.000105,0.000209,0.0,0.001674,0.0,0.001151,0.000523,0.000105,0.0,0.0,0.0,0.4688,0.026409,0.594729,0.073234,1.021475,0.94205,0,0,982,2492,736,6332,0,0.029573,0.206863,347,32,429227.8044
62,10419,26.423765,0.32316,0.342739,0.329206,0.000192,0.000192,0.0,0.00048,0.0,0.000192,0.0,0.000192,0.000192,0.0,0.001824,0.0,0.001056,0.000384,0.000192,0.0,0.0,0.014997,0.404059,0.026753,0.509959,0.072888,1.022209,0.812074,0,1467,608,3801,686,5932,0,0.044027,0.210887,369,32,440824.2874
63,9528,26.582893,0.322943,0.345298,0.326721,0.00021,0.00021,0.0,0.000525,0.0,0.00021,0.0,0.00021,0.00021,0.0,0.001889,0.0,0.000945,0.00042,0.00021,0.0,0.0,0.0,0.472784,0.02696,0.592421,0.073021,1.022113,0.950147,0,0,891,2654,829,6045,0,0.058265,0.215501,369,32,453586.1553
64,10188,26.745653,0.325579,0.344327,0.325579,0.000196,9.8e-05,0.0,0.000393,0.0,0.000196,0.0,0.000196,0.000196,0.0,0.001767,0.0,0.000883,0.000393,0.000196,0.0,0.0,0.009509,0.414719,0.027159,0.518136,0.073659,1.023363,0.833235,0,1262,602,3763,771,5654,0,0.072289,0.219201,381,32,465261.9898
65,9346,26.885482,0.325487,0.347421,0.322598,0.000107,0.000107,0.0,0.000428,0.0,0.000214,0.0,0.000214,0.000214,0.0,0.001712,0.0,0.000856,0.000428,0.000214,0.0,0.0,0.0,0.474233,0.02742,0.590762,0.073641,1.023222,0.953349,4,0,842,2360,1131,5855,0,0.086103,0.223773,381,36,478842.7715
